Stock Code,Stock Name,Sector Classification
066570,LG전자,전기·전자
066575,LG전자우,전기·전자
037560,LG헬로비전,오락·문화
051910,LG화학,화학
051915,LG화학우,화학
079550,LIG디펜스앤에어로스페이스,금속
006260,LS,기타금융
010120,LS ELECTRIC,전기·전자
000680,LS네트웍스,유통
229640,LS에코에너지,기타금융
108320,LX세미콘,전기·전자
001120,LX인터내셔널,유통
108670,LX하우시스,화학
108675,LX하우시스우,화학
383800,LX홀딩스,기타금융
38380K,LX홀딩스1우,기타금융
023150,MH에탄올,음식료·담배
035420,NAVER,IT 서비스
036570,NC,IT 서비스
181710,NHN,IT 서비스
400760,NH올원리츠,부동산
005940,NH투자증권,증권
005945,NH투자증권우,증권
338100,NH프라임리츠,부동산
034310,NICE,일반서비스
030190,NICE평가정보,IT 서비스
008260,NI스틸,금속
004250,NPC,화학
004255,NPC우,화학
456040,OCI,화학
010060,OCI홀딩스,기타금융
178920,PI첨단소재,화학
001340,PKC,화학
005490,POSCO홀딩스,금속
010950,S-Oil,화학
010955,S-Oil우,화학
034120,SBS,오락·문화
003080,SB성보,화학
005090,SGC에너지,전기·가스
001380,SG글로벌,운송장비·부품
004060,SG세계물산,유통
001770,SHD,금속
002360,SH에너지화학,화학
009160,SIMPAC,금속
033530,SJG세종,운송장비·부품
123700,SJM,운송장비·부품
025530,SJM홀딩스,유통
034730,SK,기타금융
011790,SKC,화학
018670,SK가스,유통
001740,SK네트웍스,유통
006120,SK디스커버리,기타금융
006125,SK디스커버리우,기타금융
210980,SK디앤디,부동산
395400,SK리츠,부동산
302440,SK바이오사이언스,제약
326030,SK바이오팜,일반서비스
402340,SK스퀘어,기타금융
361610,SK아이이테크놀로지,전기·전자
100090,SK오션플랜트,금속
03473K,SK우,기타금융
096770,SK이노베이션,화학
096775,SK이노베이션우,화학
475150,SK이터닉스,건설
001510,SK증권,증권
001515,SK증권우,증권
285130,SK케미칼,화학
28513K,SK케미칼우,화학
017670,SK텔레콤,통신
000660,SK하이닉스,전기·전자
003570,SNT다이내믹스,운송장비·부품
064960,SNT모티브,운송장비·부품
100840,SNT에너지,기계·장비
036530,SNT홀딩스,기타금융
000390,SP삼화,화학
011810,STX,유통
465770,STX그린로지스,운송·창고
077970,STX엔진,기계·장비
002820,SUN&L,화학
002170,SYTS,섬유·의류
084870,TBH글로벌,섬유·의류
002710,TCC스틸,금속
069260,TKG휴켐스,화학
007980,TP,섬유·의류
002900,TYM,기계·장비
024070,WISCOM,화학
037270,YG PLUS,IT 서비스
139130,iM금융지주,기타금융
000500,가온전선,전기·전자
000860,강남제비스코,화학
035250,강원랜드,오락·문화
011420,갤럭시아에스엠,오락·문화
002100,경농,화학
009450,경동나비엔,전기·전자
267290,경동도시가스,전기·가스
012320,경동인베스트,기타금융
000050,경방,유통
214390,경보제약,제약
012610,경인양행,화학
009140,경인전자,전기·전자
013580,계룡건설,건설
012200,계양전기,기계·장비
012205,계양전기우,기계·장비
002140,고려산업,음식료·담배
010130,고려아연,금속
002240,고려제강,금속
009290,광동제약,제약
017040,광명전기,전기·전자
017900,광전자,전기·전자
037710,광주신세계,유통
030610,교보증권,증권
339770,교촌에프앤비,유통
007690,국도화학,화학
002720,국제약품,제약
083420,그린케미칼,화학
014530,극동유화,화학
014280,금강공업,금속
014285,금강공업우,금속
008870,금비,비금속
001570,금양,화학
002990,금호건설,건설
002995,금호건설우,건설
011780,금호석유화학,화학
011785,금호석유화학우,화학
214330,금호에이치티,운송장비·부품
001210,금호전기,전기·전자
073240,금호타이어,화학
092440,기신정기,기계·장비
000270,기아,운송장비·부품
024110,기업은행,은행
013700,까뮤이앤씨,건설
004540,깨끗한나라,종이·목재
004545,깨끗한나라우,종이·목재
001260,남광토건,건설
008350,남선알미늄,금속
008355,남선알미우,금속
004270,남성,유통
003920,남양유업,음식료·담배
003925,남양유업우,음식료·담배
025860,남해화학,화학
005720,넥센,화학
005725,넥센우,화학
002350,넥센타이어,화학
002355,넥센타이어1우B,화학
092790,넥스틸,금속
251270,넷마블,IT 서비스
090350,노루페인트,화학
090355,노루페인트우,화학
000320,노루홀딩스,기타금융
000325,노루홀딩스우,기타금융
006280,녹십자,제약
005250,녹십자홀딩스,일반서비스
005257,녹십자홀딩스2우,일반서비스
004370,농심,음식료·담배
072710,농심홀딩스,기타금융
058730,다스코,금속
030210,다올투자증권,증권
023590,다우기술,IT 서비스
145210,다이나믹디자인,기계·장비
483650,달바글로벌,화학
019680,대교,일반서비스
019685,대교우B,일반서비스
006370,대구백화점,유통
008060,대덕,기타금융
00806K,대덕1우,기타금융
353200,대덕전자,전기·전자
35320K,대덕전자1우,전기·전자
000490,대동,기계·장비
005750,대림바스,비금속
006570,대림통상,금속
001680,대상,음식료·담배
001685,대상우,음식료·담배
084690,대상홀딩스,기타금융
084695,대상홀딩스우,기타금융
128820,대성산업,유통
117580,대성에너지,전기·가스
016710,대성홀딩스,일반서비스
0030R0,대신밸류리츠,기타금융
003540,대신증권,증권
003547,대신증권2우B,증권
003545,대신증권우,증권
009190,대양금속,금속
014160,대영포장,종이·목재
047040,대우건설,건설
003090,대웅,제약
069620,대웅제약,제약
000430,대원강업,운송장비·부품
006340,대원전선,전기·전자
006345,대원전선우,전기·전자
003220,대원제약,제약
024890,대원화성,화학
012800,대창,금속
015230,대창단조,운송장비·부품
001070,대한방직,섬유·의류
006650,대한유화,화학
001440,대한전선,전기·전자
084010,대한제강,금속
001790,대한제당,음식료·담배
001795,대한제당우,음식료·담배
001130,대한제분,음식료·담배
439260,대한조선,운송장비·부품
003490,대한항공,운송·창고
003495,대한항공우,운송·창고
005880,대한해운,운송·창고
003830,대한화섬,화학
016090,대현,섬유·의류
069460,대호에이엘,금속
475560,더본코리아,유통
192080,더블유게임즈,IT 서비스
012510,더존비즈온,IT 서비스
004830,덕성,화학
004835,덕성우,화학
145720,덴티움,의료·정밀기기
002150,도화엔지니어링,일반서비스
460850,동국씨엠,금속
460860,동국제강,금속
001230,동국홀딩스,기타금융
023450,동남합성,화학
004140,동방,운송·창고
007590,동방아그로,화학
005960,동부건설,건설
005965,동부건설우,건설
026960,동서,유통
002210,동성제약,제약
102260,동성케미컬,화학
000640,동아쏘시오홀딩스,기타금융
170900,동아에스티,제약
028100,동아지질,건설
001520,동양,비금속
001527,동양2우B,비금속
084670,동양고속,운송·창고
082640,동양생명,보험
001525,동양우,비금속
018500,동원금속,운송장비·부품
006040,동원산업,기타금융
030720,동원수산,농업 임업 및 어업
014820,동원시스템즈,화학
014825,동원시스템즈우,화학
111380,동인기연,섬유·의류
163560,동일고무벨트,화학
004890,동일산업,금속
002690,동일제강,금속
000020,동화약품,제약
000150,두산,전기·전자
000157,두산2우B,전기·전자
454910,두산로보틱스,기계·장비
241560,두산밥캣,기계·장비
034020,두산에너빌리티,기계·장비
000155,두산우,전기·전자
336260,두산퓨얼셀,전기·전자
33626K,두산퓨얼셀1우,전기·전자
33626L,두산퓨얼셀2우B,전기·전자
016740,두올,운송장비·부품
192650,드림텍,전기·전자
024090,디씨엠,금속
003160,디아이,의료·정밀기기
092200,디아이씨,운송장비·부품
377190,디앤디플랫폼리츠,부동산
013570,디와이,기타금융
024900,디와이덕양,운송장비·부품
002880,디와이에이,운송장비·부품
210540,디와이파워,기계·장비
032350,롯데관광개발,일반서비스
089860,롯데렌탈,일반서비스
330590,롯데리츠,부동산
000400,롯데손해보험,보험
023530,롯데쇼핑,유통
020150,롯데에너지머티리얼즈,전기·전자
280360,롯데웰푸드,음식료·담배
286940,롯데이노베이트,IT 서비스
004000,롯데정밀화학,화학
004990,롯데지주,기타금융
00499K,롯데지주우,기타금융
005300,롯데칠성,음식료·담배
005305,롯데칠성우,음식료·담배
011170,롯데케미칼,화학
071840,롯데하이마트,유통
027740,마니커,음식료·담배
357430,마스턴프리미어리츠,부동산
001080,만호제강,금속
088980,맥쿼리인프라,기타금융
094800,맵스리얼티,기타금융
138040,메리츠금융지주,기타금융
090370,메타랩스,섬유·의류
118000,메타케어,유통
017180,명문제약,제약
009900,명신산업,운송장비·부품
317450,명인제약,제약
012690,모나리자,종이·목재
005360,모나미,유통
070960,모나용평,일반서비스
009680,모토닉,운송장비·부품
009580,무림P&P,종이·목재
009200,무림페이퍼,종이·목재
033920,무학,음식료·담배
008420,문배철강,금속
025560,미래산업,의료·정밀기기
007120,미래아이앤지,IT 서비스
396690,미래에셋글로벌리츠,부동산
357250,미래에셋맵스리츠,부동산
085620,미래에셋생명,보험
006800,미래에셋증권,증권
00680K,미래에셋증권2우B,증권
006805,미래에셋증권우,증권
081660,미스토홀딩스,유통
002840,미원상사,화학
268280,미원에스씨,화학
107590,미원홀딩스,기타금융
134380,미원화학,화학
003650,미창석유,화학
377740,바이오노트,제약
003610,방림,섬유·의류
035150,백산,화학
002410,범양건영,건설
007210,벽산,비금속
002760,보락,화학
003850,보령,제약
000890,보해양조,음식료·담배
003000,부광약품,제약
001270,부국증권,증권
001275,부국증권우,증권
026940,부국철강,금속
011390,부산산업,비금속
005030,부산주공,운송장비·부품
006740,블루산업개발,종이·목재
002070,비비안,섬유·의류
100220,비상교육,오락·문화
090460,비에이치,전기·전자
005180,빙그레,음식료·담배
003960,사조대림,음식료·담배
008040,사조동아원,음식료·담배
007160,사조산업,음식료·담배
014710,사조씨푸드,음식료·담배
006090,사조오양,음식료·담배
062040,산일전기,전기·전자
005610,삼립,음식료·담배
001470,삼부토건,건설
028050,삼성E&A,일반서비스
448730,삼성FN리츠,부동산
006400,삼성SDI,전기·전자
006405,삼성SDI우,전기·전자
006660,삼성공조,운송장비·부품
028260,삼성물산,유통
02826K,삼성물산우B,유통
207940,삼성바이오로직스,제약
032830,삼성생명,보험
018260,삼성에스디에스,IT 서비스
0126Z0,삼성에피스홀딩스,기타금융
009150,삼성전기,전기·전자
009155,삼성전기우,전기·전자
005930,삼성전자,전기·전자
005935,삼성전자우,전기·전자
001360,삼성제약,제약
010140,삼성중공업,운송장비·부품
016360,삼성증권,증권
068290,삼성출판사,오락·문화
029780,삼성카드,기타금융
000810,삼성화재,보험
000815,삼성화재우,보험
006110,삼아알미늄,금속
0120G0,삼양바이오팜,제약
145990,삼양사,음식료·담배
145995,삼양사우,음식료·담배
003230,삼양식품,음식료·담배
272550,삼양패키징,화학
000070,삼양홀딩스,기타금융
003720,삼영,화학
002810,삼영무역,유통
005680,삼영전자,전기·전자
023000,삼원강재,운송장비·부품
004380,삼익THK,기계·장비
002450,삼익악기,기타제조
004440,삼일씨엔에스,비금속
000520,삼일제약,제약
009770,삼정펄프,종이·목재
005500,삼진제약,제약
004690,삼천리,전기·가스
010960,삼호개발,건설
004450,삼화왕관,금속
009470,삼화전기,전기·전자
011230,삼화전자,전기·전자
001820,삼화콘덴서,전기·전자
001290,상상인증권,증권
041650,상신브레이크,운송장비·부품
075180,새론오토모티브,운송장비·부품
007540,샘표,기타금융
248170,샘표식품,음식료·담배
007860,서연,기타금융
200880,서연이화,운송장비·부품
017390,서울가스,전기·가스
031210,서울보증보험,보험
004410,서울식품,음식료·담배
004415,서울식품우,음식료·담배
021050,서원,금속
008490,서흥,화학
007610,선도전기,전기·전자
136490,선진,음식료·담배
014910,성문전자,전기·전자
014915,성문전자우,전기·전자
004980,성신양회,비금속
004985,성신양회우,비금속
000180,성창기업지주,일반서비스
002420,세기상사,유통
004360,세방,운송·창고
004365,세방우,운송·창고
004490,세방전지,전기·전자
001430,세아베스틸지주,금속
306200,세아제강,금속
003030,세아제강지주,기타금융
058650,세아홀딩스,금속
013000,세우글로벌,유통
021820,세원정공,운송장비·부품
067830,세이브존I&C,유통
075580,세진중공업,운송장비·부품
068270,셀트리온,제약
336370,솔루스첨단소재,전기·전자
33637K,솔루스첨단소재1우,전기·전자
33637L,솔루스첨단소재2우B,전기·전자
248070,솔루엠,전기·전자
004430,송원산업,화학
017550,수산세보틱스,기계·장비
126720,수산인더스트리,건설
053210,스카이라이프,오락·문화
204210,스타에스엠리츠,부동산
026890,스틱인베스트먼트,기타금융
134790,시디즈,기타제조
462870,시프트업,IT 서비스
016590,신대양제지,종이·목재
029530,신도리코,전기·전자
004970,신라교역,농업 임업 및 어업
011930,신성이엔지,전기·전자
004170,신세계,유통
035510,신세계 I&C,IT 서비스
031430,신세계인터내셔날,유통
031440,신세계푸드,일반서비스
006880,신송홀딩스,유통
005800,신영와코루,섬유·의류
001720,신영증권,증권
009270,신원,섬유·의류
002700,신일전자,유통
002870,신풍,유통
019170,신풍제약,제약
019175,신풍제약우,제약
481850,신한글로벌액티브리츠,기타금융
404990,신한서부티엔디리츠,부동산
293940,신한알파리츠,부동산
055550,신한지주,기타금융
004080,신흥,유통
004770,써니전자,전기·전자
403550,쏘카,일반서비스
004920,씨아이테크,전기·전자
112610,씨에스윈드,금속
480370,씨케이솔루션,기계·장비
308170,씨티알모빌리티,운송장비·부품
008700,아남전자,전기·전자
090430,아모레퍼시픽,화학
090435,아모레퍼시픽우,화학
002790,아모레퍼시픽홀딩스,화학
00279K,아모레퍼시픽홀딩스3우C,화학
002795,아모레퍼시픽홀딩스우,화학
002030,아세아,일반서비스
183190,아세아시멘트,비금속
002310,아세아제지,종이·목재
012170,아센디오,오락·문화
267850,아시아나IDT,IT 서비스
020560,아시아나항공,운송·창고
122900,아이마켓코리아,유통
010780,아이에스동서,비금속
031820,아이티센씨티에스,IT 서비스
139990,아주스틸,금속
009320,아진전자부품,운송장비·부품
001780,알루코,금속
018250,애경산업,화학
161000,애경케미칼,화학
011090,에넥스,기타제조
137310,에스디바이오센서,의료·정밀기기
005850,에스엘,운송장비·부품
010580,에스엠벡셀,운송장비·부품
012750,에스원,일반서비스
023960,에쓰씨엔지니어링,건설
298690,에어부산,운송·창고
140910,에이리츠,부동산
078520,에이블씨엔씨,화학
015260,에이엔피,전기·전자
007460,에이프로젠,제약
003060,에이프로젠바이오로직스,제약
244920,에이플러스에셋,기타금융
278470,에이피알,화학
450080,에코프로머티,전기·전자
019490,엑시큐어하이트론,전기·전자
085310,엔케이,금속
900140,엘브이엠씨홀딩스,유통
066970,엘앤에프,전기·전자
097520,엠씨넥스,전기·전자
484870,엠앤씨솔루션,기계·장비
014440,영보화학,화학
111770,영원무역,유통
009970,영원무역홀딩스,기타금융
003520,영진약품,제약
000670,영풍,금속
012280,영화금속,운송장비·부품
012160,영흥,금속
007310,오뚜기,음식료·담배
002630,오리엔트바이오,제약
271560,오리온,음식료·담배
001800,오리온홀딩스,기타금융
005320,온타이드,유통
011690,와이투솔루션,전기·전자
316140,우리금융지주,기타금융
006980,우성,음식료·담배
011300,우성머티리얼스,섬유·의류
017370,우신시스템,기계·장비
105840,우진,의료·정밀기기
010400,우진아이엔에스,건설
049800,우진플라임,기계·장비
016880,웅진,일반서비스
095720,웅진씽크빅,일반서비스
005820,원림,섬유·의류
008600,윌비스,유통
033270,유나이티드제약,제약
014830,유니드,화학
446070,유니드비티플러스,종이·목재
000910,유니온,비금속
047400,유니온머티리얼,비금속
011330,유니켐,운송장비·부품
077500,유니퀘스트,유통
002920,유성기업,운송장비·부품
000700,유수홀딩스,일반서비스
003470,유안타증권,증권
003475,유안타증권우,증권
072130,유엔젤,IT 서비스
000220,유유제약,제약
000225,유유제약1우,제약
000227,유유제약2우B,제약
001200,유진투자증권,증권
000100,유한양행,제약
000105,유한양행우,제약
003460,유화증권,증권
003465,유화증권우,증권
008730,율촌화학,화학
008250,이건산업,종이·목재
025820,이구산업,금속
214320,이노션,일반서비스
088260,이리츠코크렙,부동산
139480,이마트,유통
457190,이수스페셜티케미컬,화학
007660,이수페타시스,전기·전자
005950,이수화학,화학
015020,이스타코,부동산
074610,이엔플러스,기계·장비
102460,이연제약,제약
084680,이월드,기타제조
350520,이지스레지던스리츠,부동산
334890,이지스밸류플러스리츠,부동산
000760,이화산업,유통
014990,인디에프,섬유·의류
101140,인바이오젠,유통
006490,인스코비,통신
023800,인지컨트롤스,운송장비·부품
034590,인천도시가스,전기·가스
129260,인터지스,운송·창고
023810,인팩,운송장비·부품
249420,일동제약,제약
000230,일동홀딩스,제약
013360,일성건설,건설
003120,일성아이에스,제약
003200,일신방직,섬유·의류
007110,일신석재,유통
007570,일양약품,제약
007575,일양약품우,제약
008500,일정실업,섬유·의류
081000,일진다이아,화학
020760,일진디스플,전기·전자
103590,일진전기,전기·전자
271940,일진하이솔루스,운송장비·부품
015860,일진홀딩스,기타금융
226320,잇츠한불,화학
317400,자이에스앤디,부동산
033240,자화전자,전기·전자
000950,전방,섬유·의류
079900,전진건설로봇,기계·장비
348950,제이알글로벌리츠,부동산
194370,제이에스코퍼레이션,섬유·의류
030000,제일기획,일반서비스
271980,제일약품,제약
001560,제일연마,비금속
002620,제일파마홀딩스,일반서비스
006220,제주은행,은행
089590,제주항공,운송·창고
004910,조광페인트,화학
004700,조광피혁,섬유·의류
001550,조비,화학
462520,조선내화,비금속
120030,조선선재,금속
018470,조일알미늄,금속
002600,조흥,음식료·담배
185750,종근당,제약
063160,종근당바이오,제약
001630,종근당홀딩스,제약
109070,주성코퍼레이션,전기·전자
044380,주연테크,전기·전자
013890,지누스,기타제조
013870,지엠비코리아,운송장비·부품
071320,지역난방공사,전기·가스
088790,진도,유통
003780,진양산업,화학
010640,진양폴리,화학
100250,진양홀딩스,화학
051630,진양화학,화학
272450,진에어,운송·창고
011000,진원생명과학,제약
002780,진흥기업,건설
002787,진흥기업2우B,건설
002785,진흥기업우B,건설
025620,차AI헬스케어,화학
009310,참엔지니어링,기계·장비
000650,천일고속,운송·창고
033250,체시스,운송장비·부품
035720,카카오,IT 서비스
323410,카카오뱅크,은행
377300,카카오페이,기타금융
006380,카프로,화학
279570,케이뱅크,은행
001620,케이비아이동국실업,운송장비·부품
029460,케이씨,의료·정밀기기
281820,케이씨텍,의료·정밀기기
381970,케이카,유통
145270,케이탑리츠,부동산
417310,코람코더원리츠,부동산
357120,코람코라이프인프라리츠,부동산
007815,코리아써우,전기·전자
007810,코리아써키트,전기·전자
00781K,코리아써키트2우B,전기·전자
003690,코리안리,보험
192820,코스맥스,화학
044820,코스맥스비티아이,기타금융
005070,코스모신소재,화학
005420,코스모화학,화학
071950,코아스,기타제조
002020,코오롱,기타금융
003070,코오롱글로벌,건설
003075,코오롱글로벌우,건설
002025,코오롱우,기타금융
120110,코오롱인더,화학
120115,코오롱인더우,화학
021240,코웨이,일반서비스
036420,콘텐트리중앙,오락·문화
024720,콜마홀딩스,기타금융
192400,쿠쿠홀딩스,기타금융
284740,쿠쿠홈시스,일반서비스
264900,크라운제과,음식료·담배
26490K,크라운제과우,음식료·담배
005740,크라운해태홀딩스,기타금융
005745,크라운해태홀딩스우,기타금융
259960,크래프톤,IT 서비스
020120,키다리스튜디오,IT 서비스
039490,키움증권,증권
014580,태경비케이,비금속
015890,태경산업,화학
006890,태경케미컬,화학
003240,태광산업,화학
011280,태림포장,종이·목재
004100,태양금속,운송장비·부품
004105,태양금속우,운송장비·부품
009410,태영건설,건설
009415,태영건설우,건설
001420,태원물산,운송장비·부품
055490,테이팩스,화학
078000,텔코웨어,IT 서비스
214420,토니모리,화학
091810,트리니티항공,운송·창고
019180,티에이치엔,전기·전자
217590,티엠씨,전기·전자
363280,티와이홀딩스,기타금융
36328K,티와이홀딩스우,기타금융
004870,티웨이홀딩스,비금속
034230,파라다이스,오락·문화
005690,파미셀,전기·전자
036580,팜스코,음식료·담배
004720,팜젠사이언스,제약
028670,팬오션,운송·창고
010820,퍼스텍,금속
016800,퍼시스,기타제조
001020,페이퍼코리아,종이·목재
090080,평화산업,운송장비·부품
010770,평화홀딩스,운송장비·부품
022100,포스코DX,일반서비스
058430,포스코스틸리온,금속
047050,포스코인터내셔널,유통
003670,포스코퓨처엠,전기·전자
017810,풀무원,음식료·담배
103140,풍산,금속
005810,풍산홀딩스,기타금융
950210,프레스티지바이오파마,일반서비스
009810,플레이그램,유통
086790,하나금융지주,기타금융
293480,하나제약,제약
039130,하나투어,일반서비스
352820,하이브,오락·문화
071090,하이스틸,금속
000080,하이트진로,음식료·담배
000087,하이트진로2우B,음식료·담배
000140,하이트진로홀딩스,기타금융
000145,하이트진로홀딩스우,기타금융
036460,한국가스공사,전기·가스
005430,한국공항,운송·창고
071050,한국금융지주,기타금융
071055,한국금융지주우,기타금융
010040,한국내화,비금속
025540,한국단자,전기·전자
010100,한국무브넥스,운송장비·부품
004090,한국석유,비금속
002200,한국수출포장,종이·목재
002960,한국쉘석유,화학
000240,한국앤컴퍼니,기타금융
123890,한국자산신탁,기타금융
015760,한국전력,전기·가스
006200,한국전자홀딩스,기타금융
027970,한국제지,종이·목재
023350,한국종합기술,일반서비스
025890,한국주강,기계·장비
000970,한국주철관,금속
104700,한국철강,금속
017960,한국카본,금속
161890,한국콜마,화학
161390,한국타이어앤테크놀로지,화학
034830,한국토지신탁,기타금융
007280,한국특강,금속
047810,한국항공우주,운송장비·부품
123690,한국화장품,유통
003350,한국화장품제조,화학
011500,한농화성,화학
002390,한독,제약
053690,한미글로벌,일반서비스
042700,한미반도체,기계·장비
008930,한미사이언스,기타금융
128940,한미약품,제약
009240,한샘,유통
020000,한섬,섬유·의류
003680,한성기업,음식료·담배
105630,한세실업,섬유·의류
069640,한세엠케이,유통
016450,한세예스24홀딩스,섬유·의류
009180,한솔로지스틱스,운송·창고
213500,한솔제지,종이·목재
014680,한솔케미칼,화학
004710,한솔테크닉스,전기·전자
004150,한솔홀딩스,기타금융
025750,한솔홈데코,종이·목재
004960,한신공영,건설
011700,한신기계,기계·장비
001750,한양증권,증권
001755,한양증권우,증권
018880,한온시스템,기계·장비
009420,한올바이오파마,제약
014130,한익스프레스,운송·창고
300720,한일시멘트,비금속
002220,한일철강,금속
003300,한일홀딩스,비금속
051600,한전KPS,건설
052690,한전기술,일반서비스
130660,한전산업,일반서비스
002320,한진,운송·창고
003480,한진중공업홀딩스,전기·가스
180640,한진칼,기타금융
18064K,한진칼우,기타금융
005110,한창,유통
009460,한창제지,종이·목재
372910,한컴라이프케어,의료·정밀기기
000880,한화,화학
00088K,한화3우B,화학
452260,한화갤러리아,유통
45226K,한화갤러리아우,유통
451800,한화리츠,부동산
489790,한화비전,전기·전자
088350,한화생명,보험
000370,한화손해보험,보험
009830,한화솔루션,화학
009835,한화솔루션우,화학
272210,한화시스템,전기·전자
012450,한화에어로스페이스,운송장비·부품
082740,한화엔진,기계·장비
042660,한화오션,운송장비·부품
003530,한화투자증권,증권
003535,한화투자증권우,증권
195870,해성디에스,전기·전자
101530,해태제과식품,음식료·담배
143210,핸즈코퍼레이션,운송장비·부품
000720,현대건설,건설
000725,현대건설우,건설
453340,현대그린푸드,유통
086280,현대글로비스,운송·창고
064350,현대로템,운송장비·부품
079430,현대리바트,기타제조
012330,현대모비스,운송장비·부품
069960,현대백화점,유통
004560,현대비앤지스틸,금속
004310,현대약품,제약
017800,현대엘리베이터,기계·장비
307950,현대오토에버,IT 서비스
011210,현대위아,운송장비·부품
004020,현대제철,금속
005440,현대지에프홀딩스,기타금융
005380,현대차,운송장비·부품
005387,현대차2우B,운송장비·부품
005389,현대차3우B,운송장비·부품
005385,현대차우,운송장비·부품
001500,현대차증권,증권
011760,현대코퍼레이션,유통
227840,현대코퍼레이션홀딩스,유통
126560,현대퓨처넷,통신
001450,현대해상,보험
057050,현대홈쇼핑,유통
093240,형지엘리트,섬유·의류
003010,혜인,유통
111110,호전실업,섬유·의류
008770,호텔신라,유통
008775,호텔신라우,유통
378850,화승알앤에이,운송장비·부품
241590,화승엔터프라이즈,섬유·의류
006060,화승인더,유통
013520,화승코퍼레이션,운송장비·부품
010690,화신,운송장비·부품
133820,화인베스틸,금속
010660,화천기계,기계·장비
000850,화천기공,기계·장비
016580,환인제약,제약
032560,황금에스티,금속
004800,효성,기타금융
094280,효성ITX,일반서비스
298040,효성중공업,전기·전자
298020,효성티앤씨,화학
298000,효성화학,화학
093370,후성,화학
005870,휴니드,전기·전자
079980,휴비스,화학
005010,휴스틸,금속
000540,흥국화재,보험
000545,흥국화재우,보험
003280,흥아해운,운송·창고
060310,3S,의료·정밀기기
054620,APS,금융
079810,APS이노베이션,전기·전자
265520,AP시스템,기계·장비
211270,AP위성,전기·전자
126600,BGF에코머티리얼즈,화학
083790,CG인바이츠,일반서비스
035760,CJ ENM,오락·문화
311690,CJ 바이오사이언스,일반서비스
051500,CJ프레시웨이,유통
058820,CMG제약,제약
056730,CNT85,건설
065770,CS,전기·전자
083660,CSA 코스믹,화학
477760,DB금융스팩12호,금융
099520,DGI,전기·전자
290120,DH오토리드,운송장비·부품
025440,DH오토웨어,전기·전자
